v8-version,6,8,275,32,-node.45,0
code-creation,Builtin,3,16921,0x8f9d5ba4280,142,ArraySomeLoopEagerDeoptContinuation
code-creation,Builtin,3,17010,0x8f9d5ba4360,496,ArraySomeLoopLazyDeoptContinuation
code-creation,Builtin,3,17107,0x8f9d5ba45a0,5120,ArrayFilterLoopContinuation
code-creation,Builtin,3,17196,0x8f9d5ba59e0,142,ArrayFilterLoopEagerDeoptContinuation
code-creation,Builtin,3,17287,0x8f9d5ba5ac0,774,ArrayFilterLoopLazyDeoptContinuation
code-creation,Builtin,3,17377,0x8f9d5ba5e20,2924,ArrayMapLoopContinuation
code-creation,Builtin,3,17468,0x8f9d5ba69e0,142,ArrayMapLoopEagerDeoptContinuation
code-creation,Builtin,3,17556,0x8f9d5ba6ac0,384,ArrayMapLoopLazyDeoptContinuation
code-creation,Builtin,3,17624,0x8f9d5ba6c80,2960,ArrayReduceLoopContinuation
code-creation,Builtin,3,17694,0x8f9d5ba7860,138,ArrayReducePreLoopEagerDeoptContinuation
code-creation,Builtin,3,17800,0x8f9d5ba7940,142,ArrayReduceLoopEagerDeoptContinuation
code-creation,Builtin,3,17900,0x8f9d5ba7a20,142,ArrayReduceLoopLazyDeoptContinuation
code-creation,Builtin,3,17997,0x8f9d5ba7b00,2952,ArrayReduceRightLoopContinuation
code-creation,Builtin,3,18095,0x8f9d5ba86e0,154,ArrayReduceRightPreLoopEagerDeoptContinuation
code-creation,Builtin,3,18188,0x8f9d5ba87c0,142,ArrayReduceRightLoopEagerDeoptContinuation
code-creation,Builtin,3,18282,0x8f9d5ba88a0,142,ArrayReduceRightLoopLazyDeoptContinuation
code-creation,Builtin,3,18377,0x8f9d5ba8980,632,ArrayFindLoopContinuation
code-creation,Builtin,3,18471,0x8f9d5ba8c40,142,ArrayFindLoopEagerDeoptContinuation
code-creation,Builtin,3,18564,0x8f9d5ba8d20,142,ArrayFindLoopLazyDeoptContinuation
code-creation,Builtin,3,18636,0x8f9d5ba8e00,305,ArrayFindLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,18715,0x8f9d5ba8f80,624,ArrayFindIndexLoopContinuation
code-creation,Builtin,3,18807,0x8f9d5ba9240,150,ArrayFindIndexLoopEagerDeoptContinuation
code-creation,Builtin,3,18899,0x8f9d5ba9320,150,ArrayFindIndexLoopLazyDeoptContinuation
code-creation,Builtin,3,18997,0x8f9d5ba9400,309,ArrayFindIndexLoopAfterCallbackLazyDeoptContinuation
code-creation,Builtin,3,19093,0x8f9d5ba9580,4108,FlattenIntoArray
code-creation,Builtin,3,19208,0x8f9d5baa5e0,4148,FlatMapIntoArray
code-creation,Builtin,3,19307,0x8f9d5bab660,15,ArrayBufferConstructor
code-creation,Builtin,3,19408,0x8f9d5bab6c0,15,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,19503,0x8f9d5bab720,15,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,19574,0x8f9d5bab780,15,ArrayBufferIsView
code-creation,Builtin,3,19645,0x8f9d5bab7e0,15,ArrayBufferPrototypeSlice
code-creation,Builtin,3,19743,0x8f9d5bab840,15,BigIntConstructor
code-creation,Builtin,3,19837,0x8f9d5bab8a0,15,BigIntAsUintN
